SN,Source,WHO_REGION,Region,Country,ISO3,ISO2,ADMIN1,ADMIN1ID,ADMIN2,ADMIN2ID,IU_NAME,IU_ID,Location,SiteID,Longitude,Latitude,Georeliability,Location_type,Survey_type,Year,Age_start,Age_end,HK_examined,HK_positive,HK_prevalence,Asc_examined,Asc_positive,Asc_prevalence,TT_examined,TT_positive,TT_prevalence
24275,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bomi,2746,Klay,39172,Bomi,26818,Amos A. Fully Elementary School,,-10.88558,6.59872,3,,Mapping,2013,10,14,30,8,0.266666667,30,10,0.333333333,30,1,0.033333333
24276,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bomi,2746,Klay,39172,Bomi,26818,Barmoore Public School,,-10.89821,6.90808,3,,Mapping,2013,10,14,30,2,0.066666667,30,3,0.1,30,0,0
24277,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bomi,2746,Klay,39172,Bomi,26818,Bassa Public School,,-10.73029,6.58376,3,,Mapping,2013,10,14,30,6,0.2,30,5,0.166666667,30,0,0
24278,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bomi,2746,Klay,39172,Bomi,26818,Beafine Public School,,-10.89724,6.85998,3,,Mapping,2013,10,14,30,2,0.066666667,30,3,0.1,30,0,0
24279,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bomi,2746,Klay,39172,Bomi,26818,Beajah Public School,,-10.85831,6.82909,3,,Mapping,2013,10,14,30,2,0.066666667,30,6,0.2,30,0,0
24280,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bomi,2746,Klay,39172,Bomi,26818,Beakini Public School,,-10.85891,6.73518,3,,Mapping,2013,10,14,30,8,0.266666667,30,11,0.366666667,30,1,0.033333333
24282,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bomi,2746,Klay,39172,Bomi,26818,Beh-Sao Public School,,-10.91408,6.73505,3,,Mapping,2013,10,14,30,4,0.133333333,30,1,0.033333333,30,0,0
24281,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bomi,2746,Klay,39172,Bomi,26818,Beh Town Elementary and Junior High School,,-10.98512,6.6181502,3,,Mapping,2013,10,14,30,2,0.066666667,30,4,0.133333333,30,0,0
24283,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bomi,2746,Mecca,39173,Bomi,26818,Big Geweh Public School,,-10.60921,6.7968,3,,Mapping,2013,10,14,30,3,0.1,30,4,0.133333333,30,0,0
24284,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bomi,2746,Klay,39172,Bomi,26818,Bola Public School,,-10.84416,6.91345,3,,Mapping,2013,10,14,30,1,0.033333333,30,1,0.033333333,30,0,0
24285,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bomi,2746,Klay,39172,Bomi,26818,Bonjeh Public School,,-10.85572,6.48911,3,,Mapping,2013,10,14,30,1,0.033333333,30,3,0.1,30,0,0
24286,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bomi,2746,Klay,39172,Bomi,26818,Dagweh-Town Public School,,-10.94603,6.5692,3,,Mapping,2013,10,14,30,3,0.1,30,5,0.166666667,30,0,0
24287,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bomi,2746,Klay,39172,Bomi,26818,Damah Public School,,-10.9215,6.71993,3,,Mapping,2013,10,14,30,6,0.2,30,1,0.033333333,30,0,0
24288,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bomi,2746,Klay,39172,Bomi,26818,Deadilah Public School,,-10.76246,6.68693,3,,Mapping,2013,10,14,30,6,0.2,30,5,0.166666667,30,0,0
24289,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bomi,2746,Klay,39172,Bomi,26818,Demeh Public School,,-10.8345,6.52407,3,,Mapping,2013,10,14,30,3,0.1,30,5,0.166666667,30,0,0
24290,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bomi,2746,Klay,39172,Bomi,26818,Domabeay Public School,,-10.86101,6.6407,3,,Mapping,2013,10,14,30,5,0.166666667,30,3,0.1,30,1,0.033333333
24291,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bomi,2746,Klay,39172,Bomi,26818,Fefeh Town School,,-10.74138,6.65115,3,,Mapping,2013,10,14,30,8,0.266666667,30,7,0.233333333,30,0,0
24292,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bomi,2746,Klay,39172,Bomi,26818,Folley Town Jeon School,,-10.83715,6.58127,3,,Mapping,2013,10,14,30,4,0.133333333,30,2,0.066666667,30,0,0
24293,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bomi,2746,Klay,39172,Bomi,26818,Gayah Hills Public School,,-10.91133,6.76038,3,,Mapping,2013,10,14,30,1,0.033333333,30,3,0.1,30,0,0
24294,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bomi,2746,Klay,39172,Bomi,26818,Gbah Public School,,-10.97398,6.7145,3,,Mapping,2013,10,14,30,2,0.066666667,30,2,0.066666667,30,0,0
24295,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bomi,2746,Klay,39172,Bomi,26818,Gbaigbon Public School,,-10.99524,6.57014,3,,Mapping,2013,10,14,30,2,0.066666667,30,4,0.133333333,30,0,0
24296,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bomi,2746,Klay,39172,Bomi,26818,Gbao Public School,,-10.66823,6.68218,3,,Mapping,2013,10,14,30,3,0.1,30,8,0.266666667,30,0,0
24297,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bomi,2746,Klay,39172,Bomi,26818,Gertrude Yancy Public School,,-10.87114,6.69475,3,,Mapping,2013,10,14,30,7,0.233333333,30,7,0.233333333,30,0,0
24298,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bomi,2746,Klay,39172,Bomi,26818,Goghen Public School,,-10.73279,6.73258,3,,Mapping,2013,10,14,30,6,0.2,30,10,0.333333333,30,0,0
24299,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bomi,2746,Klay,39172,Bomi,26818,Gomai Public School,,-10.93364,6.5763,3,,Mapping,2013,10,14,30,2,0.066666667,30,5,0.166666667,30,0,0
24300,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bomi,2746,Klay,39172,Bomi,26818,Gonjeh Public School,,-10.8350938,6.6467576,1,,Mapping,2013,10,14,30,6,0.2,30,5,0.166666667,30,0,0
24301,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bomi,2746,Klay,39172,Bomi,26818,Guie Town Public School,,-10.85067,6.75569,3,,Mapping,2013,10,14,30,6,0.2,30,14,0.466666667,30,1,0.033333333
24302,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bomi,2746,Klay,39172,Bomi,26818,H. Q. Taylor Elem. & Jr. High Sch,,-10.81474,6.87509,3,,Mapping,2013,10,13,30,0,0,30,2,0.066666667,30,1,0.033333333
24303,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bomi,2746,Klay,39172,Bomi,26818,Hill Town Public School,,-10.77649,6.6215,3,,Mapping,2013,10,14,30,9,0.3,30,10,0.333333333,30,0,0
24304,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bomi,2746,Klay,39172,Bomi,26818,Jawajeh Public School,,-10.8869572,6.7337866,1,,Mapping,2013,10,13,30,5,0.166666667,30,8,0.266666667,30,3,0.1
24305,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bomi,2746,Klay,39172,Bomi,26818,John L. Parvola Elem Public Sch,,-10.81469,6.86207,3,,Mapping,2013,10,14,30,1,0.033333333,30,2,0.066666667,30,0,0
24306,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bomi,2746,Klay,39172,Bomi,26818,Julijuah Public School,,-10.7568234,6.6734761,1,,Mapping,2013,10,14,30,5,0.166666667,30,6,0.2,30,0,0
24307,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bomi,2746,Klay,39172,Bomi,26818,Kamara Town Public School,,-10.85404,6.89399,3,,Mapping,2013,10,12,30,2,0.066666667,30,8,0.266666667,30,0,0
24308,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bomi,2746,Klay,39172,Bomi,26818,Kartumu Y. Boakai Sch,,-10.88712,6.73478,3,,Mapping,2013,10,14,30,1,0.033333333,30,4,0.133333333,30,0,0
24309,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bomi,2746,Klay,39172,Bomi,26818,Kpagbola Public School,,-10.98874,6.60115,3,,Mapping,2013,10,14,30,4,0.133333333,30,5,0.166666667,30,0,0
24310,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bomi,2746,Klay,39172,Bomi,26818,Levekai Public School,,-10.72616,6.62621,3,,Mapping,2013,10,14,30,7,0.233333333,30,7,0.233333333,30,0,0
24311,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bomi,2746,Klay,39172,Bomi,26818,Levuman Public School,,-10.84174,6.51167,3,,Mapping,2013,10,14,30,2,0.066666667,30,5,0.166666667,30,0,0
24312,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bomi,2746,Klay,39172,Bomi,26818,Mae David Public School,,-10.69636,6.63983,3,,Mapping,2013,10,14,30,6,0.2,30,7,0.233333333,30,0,0
24313,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bomi,2746,Klay,39172,Bomi,26818,Maher Public School,,-10.84373,6.78444,3,,Mapping,2013,10,14,30,1,0.033333333,30,4,0.133333333,30,0,0
24314,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bomi,2746,Mecca,39173,Bomi,26818,Mecca Public School,,-10.58037,6.82919,3,,Mapping,2013,10,14,30,3,0.1,30,6,0.2,30,0,0
24315,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bomi,2746,Bopolu,39184,Bomi,26818,Memmeh Town Public School,,-10.5786,6.87286,3,,Mapping,2013,10,14,30,4,0.133333333,30,8,0.266666667,30,1,0.033333333
24316,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bomi,2746,Klay,39172,Bomi,26818,Monnoh Public School,,-10.8123464,6.6651827,1,,Mapping,2013,10,14,30,8,0.266666667,30,4,0.133333333,30,0,0
24317,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bomi,2746,Mecca,39173,Bomi,26818,Muenneh Public School,,-10.6194,6.75074,3,,Mapping,2013,10,14,30,4,0.133333333,30,6,0.2,30,0,0
24318,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bomi,2746,Klay,39172,Bomi,26818,Olivia S. Washington School,,-10.87988,6.64735,3,,Mapping,2013,10,14,30,0,0,30,2,0.066666667,30,0,0
24319,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bomi,2746,Mecca,39173,Bomi,26818,Richard B. Devine,,-10.65405,6.70431,3,,Mapping,2013,10,14,30,3,0.1,30,5,0.166666667,30,0,0
24320,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bomi,2746,Klay,39172,Bomi,26818,S.m. Dowley Public School,,-10.69475,6.65095,3,,Mapping,2013,10,14,30,4,0.133333333,30,5,0.166666667,30,0,0
24321,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bomi,2746,Klay,39172,Bomi,26818,Sass Town Public School,,-10.89024,6.58338,3,,Mapping,2013,10,13,30,4,0.133333333,30,6,0.2,30,3,0.1
24322,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bomi,2746,Klay,39172,Bomi,26818,Suehn Public School,,-10.7066165,6.6181596,1,,Mapping,2013,10,14,30,4,0.133333333,30,7,0.233333333,30,0,0
24323,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bomi,2746,Klay,39172,Bomi,26818,Sumo Town Public School,,-10.72968,6.64182,3,,Mapping,2013,10,14,30,0,0,30,1,0.033333333,30,0,0
24324,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bomi,2746,Klay,39172,Bomi,26818,Tarweh R. William Com. Sch,,-10.81855,6.85334,3,,Mapping,2013,10,14,30,9,0.3,30,9,0.3,30,1,0.033333333
24325,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bomi,2746,Klay,39172,Bomi,26818,Teh Public School,,-10.66815,6.62101,3,,Mapping,2013,10,14,30,6,0.2,30,8,0.266666667,30,0,0
24326,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bomi,2746,Mecca,39173,Bomi,26818,V.k. Yeangbay Public School,,-10.64316,6.73006,3,,Mapping,2013,10,14,30,4,0.133333333,30,6,0.2,30,0,0
24327,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bomi,2746,Klay,39172,Bomi,26818,Vincent Ward Public School,,-10.82079,6.50859,3,,Mapping,2013,10,14,30,4,0.133333333,30,6,0.2,30,0,0
24328,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bomi,2746,Klay,39172,Bomi,26818,Vortor Public School,,-11.03407,6.61784,3,,Mapping,2013,10,14,30,3,0.1,30,5,0.166666667,30,0,0
24329,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bomi,2746,Klay,39172,Bomi,26818,Weajor Public School,,-10.9278,6.6000299,3,,Mapping,2013,10,14,30,3,0.1,30,3,0.1,30,0,0
24330,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bomi,2746,Klay,39172,Bomi,26818,Weakama Public School,,-10.82345,6.84124,3,,Mapping,2013,10,14,30,1,0.033333333,30,2,0.066666667,30,0,0
24331,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bomi,2746,Klay,39172,Bomi,26818,Weamoi Public School,,-10.81732,6.68108,3,,Mapping,2013,10,14,30,6,0.2,30,6,0.2,30,0,0
24332,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bomi,2746,Klay,39172,Bomi,26818,Yormu Public School,,-10.93974,6.61096,3,,Mapping,2013,10,14,30,4,0.133333333,30,3,0.1,30,0,0
24333,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bomi,2746,Klay,39172,Bomi,26818,Zordee Public School,,-10.7823775,6.6766989,1,,Mapping,2013,10,14,30,4,0.133333333,30,5,0.166666667,30,0,0
24334,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bomi,2746,Klay,39172,Bomi,26818,Zuwah Public School,,-10.71175,6.65624,3,,Mapping,2013,10,14,30,9,0.3,30,7,0.233333333,30,0,0
24336,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Jorquelleh,39175,Bong,26819,a g Community,,-9.45948,7.1165,3,,Mapping,2012,10,14,30,14,0.466666667,30,7,0.233333333,30,8,0.266666667
24340,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Suakoko,39180,Bong,26819,Assembly of God Community School,,-9.56379,7.01037,3,,Mapping,2012,10,14,30,8,0.266666667,30,5,0.166666667,30,2,0.066666667
24342,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Todee,39218,Bong,26819,Bandi Community School,,-10.3659444,6.8006111,3,,Mapping,2012,11,14,30,2,0.066666667,30,4,0.133333333,30,1,0.033333333
24346,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Zota,39181,Bong,26819,Beletanai Community School,,-9.43599,7.265354,3,,Mapping,2012,10,14,30,13,0.433333333,30,5,0.166666667,30,9,0.3
24347,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Sanayea,39179,Bong,26819,Beletanda Public School,,-9.79261,7.11383,3,,Mapping,2012,10,14,30,24,0.8,30,13,0.433333333,30,11,0.366666667
24348,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,District #3,39189,Bong,26819,Beletania Public School,,-9.42357,6.36411,4,,Mapping,2012,10,14,30,2,0.066666667,30,7,0.233333333,30,0,0
24349,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Panta-Kpa,39177,Bong,26819,Belleganla Public School,,-9.17929,6.89436,3,,Mapping,2012,10,14,30,11,0.366666667,30,9,0.3,30,8,0.266666667
24350,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Fuamah,39174,Bong,26819,Bong Central High,,-10.36052778,6.812777778,3,,Mapping,2012,10,14,30,3,0.1,30,3,0.1,30,1,0.033333333
24351,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Jorquelleh,39175,Bong,26819,Bong Community School,,-9.46993,7.00614,3,,Mapping,2012,10,14,30,4,0.133333333,30,4,0.133333333,30,1,0.033333333
24352,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Salala,39178,Bong,26819,Botoe Barclay Emementary School,,-9.9890833,6.8775833,3,,Mapping,2012,11,14,30,3,0.1,30,0,0,30,1,0.033333333
24353,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Fuamah,39174,Bong,26819,Botoe Barclay Public School,,-10.36263888,6.80797222,3,,Mapping,2012,10,14,30,3,0.1,30,2,0.066666667,30,0,0
24354,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Salala,39178,Bong,26819,Boyea Public School,,-10.00349,6.92918,3,,Mapping,2012,10,14,30,13,0.433333333,30,9,0.3,29,10,0.344827586
24355,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Jorquelleh,39175,Bong,26819,Cammue Donkpoh Public School,,-9.4575596,6.8318,3,,Mapping,2012,10,14,30,7,0.233333333,30,13,0.433333333,30,9,0.3
24359,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Panta-Kpa,39177,Bong,26819,Charlie K. Too Elem. & Jr. High,,-9.24275,6.85224,3,,Mapping,2012,10,14,30,12,0.4,30,8,0.266666667,30,9,0.3
24360,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Jorquelleh,39175,Bong,26819,Chief Conpound Public School,,-9.47972,6.97491,3,,Mapping,2012,10,14,30,10,0.333333333,30,5,0.166666667,30,0,0
24361,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Fuamah,39174,Bong,26819,Christain T. Norma Elementary School,,-10.36047,6.812917,3,,Mapping,2012,11,14,30,1,0.033333333,30,3,0.1,30,1,0.033333333
24362,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Jorquelleh,39175,Bong,26819,Christian Delplan Bible Sch,,-9.44534,7.18847,3,,Mapping,2012,10,14,29,9,0.310344828,29,6,0.206896552,29,2,0.068965517
24363,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Salala,39178,Bong,26819,Christian Foundation Public School,,-9.938583,6.808528,3,,Mapping,2012,10,14,29,2,0.068965517,30,2,0.066666667,30,0,0
24367,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Suakoko,39180,Bong,26819,Cuttington Campus,,-9.5538568,7.0404482,1,,Mapping,2012,10,14,29,13,0.448275862,29,10,0.344827586,29,3,0.103448276
24368,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Jorquelleh,39175,Bong,26819,D. T. Woah-Tee,,-9.40309,7.13281,3,,Mapping,2012,10,14,29,17,0.586206897,29,19,0.655172414,29,9,0.310344828
